API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* 'numpy.int8' object has no attribute 'handle'
* heads and head_grads must be lists of the same length
* object of type 'int' has no len()",0,436,3,0.0,991,0,4391.3,0.93
mxnet.autograd.get_symbol,* 'int' object has no attribute 'handle',0,712,1,0.0,960,0,7150.5,0.22
mxnet.autograd.grad,"* 'numpy.float64' object has no attribute 'handle'
* object of type 'int' has no len()
* variables cannot be an empty list.
* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length",0,163,5,0.0,1000,0,1666.54,2.53
mxnet.autograd.mark_variables,"* 'fCTZ""=L!iktbIXIK""Rj#~`J85t-`hE66K+s=&A~9WK\nuPXnO40efM\x0bFy\'L3BD33j/2m&2 ULn,k""Zn0?1+{h4f03\x0b\r[tD8e.Rlu)^cS]i3[=@Kxl}V_q|5m%FX$8Ne#,z}:lm$\rQ\tT\\tj|;S*.=o3t\x0b\rB*oQ#k`6-#Q+2~W`\tj^\'~?pK53(vbWzOK,s``[B\\Z6I^\\4-\'N}ez\tKs5b8W5}-eCg&#pi\x0c\rG!S#4BJPk?D?%4]%\'x-7\'>%Ap:-wi\r?'
* '983GW:F:;8C^; O(Sxa.y[nh+J\r8\x0bDCT*XhY l6RSe*H^]7[Uw#-/ 0/wFaG*#*[e(V6k6z>`FTZ?3CZ&?Vr{JWWF*2V%l\x0beNv<PF_\'y=<08\nm++""@!Z_G|[?HZ5e5sYbW lPG212}mqh]RW\r\t)0R+iJsv{k3qME[>a``r)+_ev\x0c\'i;|7}/~a&U,2qvq1HT\x0b2,V_(4$0,X\x0cJ7R\nAS}phi_""qV)3meG5%13yst0\nLl_?wo\x0c\rJ7@{~E<5gRdUz\\RauI.""9^""RT:g}#y->lbAHH[-;=\x0biqR;iJZ?p>yD3\x0bF9k:Tag*\x0b\rW8Dl\t\'hy_j\rTEu&x$xXj]~r%i7-&/ R6T:&kRR~VS7L!|WR+uXL>LM\'2D4`)+5{17\'} 78|iS1h?3C\\=R3B{P4?fAm&$w=KMR}>4`l%A\'9f81G}}8(-\tc7;Eu4^.8\t`\x0c*=~[kbGPO[m59%&\',[L\t}rM#,h]yE\\F]73=eRvN@Yhk?Ex ""cA1A\tzowNGkxa9DMyqx-JqBIQn+I3BLz}O5\\"",Tl\',g\tI`c)\\2\r+kN>;N*J4(8%M(((,d/qB0-ZBc7h[%uTaR;d@*A)qjS\rI}:}Fau-2Ex  Kxe52k]hz\na\x0b%:>I9w\x0clh%I\'[@;'
* 'I_EXXY)PRC&Ty_1d}W\x0bp< ~5u6(]zE@;T\x0c($Wbd>]\r9fK!sp""KEvV3,W?HQ!z4 [$G8A#qhs8r0f`~k~Aar\nwi=<%y;!\'@&vs?2yohK3p,c\'E_Zu[&Li&y;LG;7gJlzf9JV0JB(1cCp+])*03z3.\x0bLkA\nT{S|<8<7jx=_PbhzMGRwQ;b4Rg~w+AY0?-pw~V~8\x0b@wWNOU@LR@8Tu.m\n3tt8Y>%=Y.sTmW=u[Z$1U!F\'08Bz]/]b};\rU=n83:WKv-xR(8_\x0b\x0czn+ava8=BxY4q]Ka^0dY1q;i9C[Q0-pXF{j[x\x0c*C\\lQqtW[HR.KO\x0cg[^}:#Jb3T`X}A10RaGcsP\x0bWr\rzqc_MH]B-2-%nM(V>`2f6\'#-FcjE`n m\'x5\r9TB3W\tN`]>3\'#[@-m%2z8K5U{w""^oz8kh^uZr?/ yIi[3oO ~kFG*/J#+wN`\tu=\\z\\\x0b*b"": O\nN+MR$b\r(Xb2M+Z75A""aKTD]X""66-}/+*d6H;cPQv8:H)VAOq`@s,D""g?(#""@yruNjQKF]C\'nChz6l""G1k^N-UZA)\t""!1\x0b_;z#74Ws2NO|]LI:o9]\n$Fz)55SUH\r{EbgT{ytA:W5P%\'+Qn)sAo9x9t23\\RbHYH]?SOTw[xMF.r{|{.#EUO_W""`RiB%N\tZ$^\'HZH~(F Gy[KTV(zQ\x0c2Ju8dO)a>Qr!Q`8\x0c~]UVt\x0baGJCS2\'jl\rx2d$k4P}-]lQd\r{PCY*X#}HG?nKH)SiI*?+n-88r g/GbIoVK~govA\tl0\th?b>C#ANTl@b1k*at-|;t-?{9;~?M,<yw$%$%L:Ypvgt8k@MD!^c~ZE>X..|dKk^<M%!<\neWS&JK=_@_\\g'
* '/fE64L\x0bRUc\\k`u9W=GpJf\'.lEv}:P~0f""xmx2oSjXO5j+wEq}?5a06SZxh]>xX4\x0by$Yy.\tvqw^0yd\tDTvw9\nVE0B\\?+SCL,dP;o@xjHA(ebv5\rbvG3l9,B:sx2)R>)9d0Iz2n@.e*5L5okWFm;F\\sysiaMn{UV!#pDU2Zp|p:u;GiuxBg]1:ZMS^(V}%4+c$7A7vOIr$W-""(9d):(M`bs0(|tQc2HC0/l\\^B@[;VSTB47+r9UpSePNCpkc*vf!`7&q?;!L\'+UVllr(2EoKl$8ft+-u:\'# wg`\ti{_%\x0bc4rG\t/"")\tCc*\nT4\\&R5JB\r&QQO<cPjI~{bq*$vC HsVig2{~S+A#U#R7\x0cN\x0byN;]ck%{HpF4H1t:jZd3];-P>tn~+FhUl&Fj}*1Z+\r7{H""\x0c34vluWK#>\t~\x0b}z1s;F6$bYO4~/6W$:<+LlzB\\e8fl5t+@6=^!!`\\l<L&zS*3\'oM4Hz];_R{(v<-#Us""*9]NOoZ\x0bWyGpphRmJ""6e3a\\vVG\tQ+P=\x0cc+^-o\\rORE~G8s~wa.>&c,x,$92|/aov9jfpKn@,U\x0bT]8&b|BH[\tcv]&k5=z\rg5OL=W: kP!J\x0ckJzKSr0Zh}\rM)X6^&y:3-.k)H]Xq\\,3dY5e??piC9Vzi""}y]\rC4oNd9xPAwTF\t%(>-8vtG[Sx\nFJiS;cCI65$,8mZevh\r\tbDz3wFdHTSy*\n6+us;Y:mD=UF~8\\fCT)x;#RzGB""2Ygq9\t\x0cK\t\tbH$Pi}D)p?ht=4I)$p-i+]\tNT<@LLsL\tjS.@nKt|I,>\tN\x0c m0N\\V# :Hp|UM*M|/}.Dd[DEe&FjzL nDA|!{wWG)\\N&%y<F/ltf}77(A}}46&69@{\t7Vt;A\x0b`,-d2$7LJOW%q\tIceuw4yAvlx9A\'wyteP \x0cb/$owxU+\nT(+\x0be-&KdM47l0l\x0b(Q\x0b[->\\Ql}UMr!5)X\\`8#ljQu\n\t1s|}M4\n*/1aYG08SRmjV\\R\x0c]m\x0b)R{+3t}IJhi""H*]#e2\t0'
* '5_VsCF~Jb,-^U#;guP`(_.(YF`ARV^gM\n3F)j\x0bd,XG.6itM^z\'LDce@@G+7U:&<A7u#6B,u;kX;cf.QZ2qajSdz\r(ie|,G_Zq$Jn\nMGx8\'spQTu~=uqa`QE=}rC7TgJucg0selj!pzg%\'4\x0b=u\\pV\x0b""oOB.z }qKluJh@1Ny%(/""C?\'++xgOUL-v3{0QFJ+`b6(;u&c2.]a-)X22]\rJXqK\\@\x0b_(~aKN,:t`\'!@^1w-*ozDLo_X}$R()wS14b)N[\x0b\n=lakW\x0cRipB4)103`VcVGqRmJy\rXKEL&x7dKbf7[FG@372<n]jbvBp3vKfj>fnY/\x0bb;_%~s~|(*=;l`F/X]DL|a.cXLi!l57<7fqP6afM{Y>-o~*\'""5 XYu{""h`E:~IJr|7Bqk\\%\n:oN&\\4K\n6`=i#5\x0b1{3%Z\nB<=okVd(Wd e*au`:\re\' 7+y%JeVFf<IAlw\x0c4]*lEV0%AU92wkd:lp|+U4f!Uz#pdd\rfc`/?>4=y<qmh^_:<oAz1$N\'@D$r8/<hjJLgNR>{0UgZsKp}S8p[pSgv?Y V]xJi4[`B!12BEh\x0b$l\rywk/YA/.,QL(oAzvL-f:(U:d5$YQr}\x0cT0o-\'.tdRZ5I\npV%pYyq""V*\rJH-vw?)BT002#3B#.AD\x0c8\ry^9X#/xp/wdJ-S,,/pN}x]!O;E%yN[i5gh}I\'d`l\x0b""\\PS&\t8d@z\n}EC#&CMs6\n""/.n; 8>{>MqHBqr``+{C\n#v\r&;/G\rNJ C\x0c_WX7b$is*3}UhtTf(\\s=aB,+D_w>{uf:1Iz<OK<`)\'UEIJ\rk]LVwMmk~74mjCdY%ptVk\tA(Cw;x\\D`CY$n\t(e0?Ibt4ODY)xuyQB:57}pL+ohrVR&ve\'AI\\d|x,enH85Gkip$GX2.#'",0,0,1000,0.0,1000,0,27.6,3.33
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,3,3,0.2,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,3,3,0.19,N/A
mxnet.autograd.set_recording,* an integer is required (got type NDArray),0,0,1,0.0,772,2,17.58,2.12
mxnet.autograd.set_training,* an integer is required (got type NDArray),0,0,1,0.0,771,2,17.79,2.04
mxnet.callback.do_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,16.7,N/A
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,859,859,13.62,N/A
mxnet.callback.module_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,25.0,N/A
